,artist,biography,listeners,playcount
244,Grupo Bryndis,"Grupo Bryndis is an internationally known Mexican musical group that originated in Villa Juárez, S.L.P. The musicians are: Guadalupe Guevara, Mauro Posadas, Gerardo Izaguirre, Claudio Montaño, and Juan Guevara.

http://en.wikipedia.org/wiki/Grupo_Bryndis Read more on Last.fm",57488,836520
245,Gavi,Read more on Last.fm,6637,35824
246,Ana Ritta,Read more on Last.fm,95,293
247,Indra Dhavsi,Read more on Last.fm,23,30
248,UFA,"UFA works on indie electro music and Live all over Taiwan for the last three years. They try to express their thoughts through computers, programmes and turntables. It is hard to define them. They can be soft and sad; bad and heavy; lovely and happy. They believe there's no boundaries in music as long as you try to feel it. Read more on Last.fm",490,5459
249,Udit Narayan,"Udit Narayan Jha known as Udit Narayan, is a Nepalese playback singer whose songs have been featured mainly in Nepali and Hindi movies. He has also sung many songs in other languages including Kannada, Marathi, Tamil, Telugu, Malayalam, Punjabi, Oriya, Assamese and Bengali movies. He is primarily known for his work in Bollywood films . He has won three National Film Awards and five Filmfare Awards. In 2001, he was awarded the Prabal Gorkha Dakshin Read more on Last.fm",115142,1552830
250,Jignesh Barot,Read more on Last.fm,756,3845
251,Foreigner,"Foreigner are a British-American rock band, originally formed in 1976 by the veteran English musician Mick Jones and fellow Briton and ex-King Crimson member Ian McDonald along with American vocalist Lou Gramm.

The current incarnation of the band includes Jones, lead vocalist Kelly Hansen, bass guitarist Jeff Pilson and multi-instrumentalist Tom Gimbel.

With ten multi-platinum albums and sixteen Top 30 hits, Foreigner is universally hailed as one Read more on Last.fm",2065021,26730914
252,Donald Fagen,"Donald Jay Fagen (born January 10, 1948) is an American musician and songwriter, best known as the co-founder, lead singer, and the principal songwriter (along with partner Walter Becker) of Steely Dan.

Fagen is known for his use of complex jazz harmonies, elaborate arrangements, and exacting attention to detail and launched his successful, if sporadic solo career in 1982.

Fagen penned a group of songs based on his experiences as a young man in 1950's America Read more on Last.fm",267144,4558953
253,Lou Gramm,"Lou Gramm (born Lou Grammatico May 2, 1950 in Rochester, New York) is an American rock music vocalist and songwriter, best known as the lead vocalist for the popular group Foreigner while also having a successful solo career. His personal hits include ""Midnight Blue"" and ""Just Between You And Me"". Gramm first appeared nationally on Capital Records with the band Black Sheep (Black Sheep) in 1975, and they also released a single on Chrysalis Records, the first American act signed to that English label, in 1974 before moving to Capital. Read more on Last.fm",96845,604239
254,Tiger Satish Das,Read more on Last.fm,14,78
255,Lloyd Brown,"Over the course of the past two decades, Lloyd Brown has risen to the very pinnacle of his profession, and with a string of hit singles and critically acclaimed albums to his credit, is now hailed as one of this country’s best ever reggae singer/songwriters. 
Born and raised in London to Jamaican parents, he began his career in 1979 by dee-jaying in “blues-dances” before progressing on fully fledged sound-systems in the early eighties with London-based sound-systems Marcus, Exodus and East Man. Read more on Last.fm",17350,97344
256,Red Bull Batalla,Read more on Last.fm,8708,135086
257,Soltész Rezső,Read more on Last.fm,346,1123
258,Neel Akash,Read more on Last.fm,599,6879
259,The Darkness,"There are at least six artists with this name:
1. A popular hard rock band from the United Kingdom
2. A death metal band from Germany
3. An alternative rock band from Poland
4. A Eurodance group
5. A thrash metal band from the Czech Republic

1. The Darkness is a hard rock band which formed in Lowestoft, England in 2000. The band consists of Justin Hawkins (vocals, guitar, keyboards), Dan Hawkins (guitar, vocals), Frankie Poullain (bass) and Ed Graham (drums). Read more on Last.fm",1182754,17544590
260,Demograffics,DEMOGRAFFICS IS THE PRODUCER THE DJ THE EMCEE THE B-BOY/B-GIRL THE GRAFFITI WRITER THE LISTENER THE VIEWER THE GATHERING OF ALL PEOPLE IN A PLACE WHERE RACE DOESNT EXIST DEMOGRAFFICS IS EVERYBODY EVERYWHERE Read more on Last.fm,2842,37496
261,ZZ Top,"ZZ Top is a hard rock band formed in 1969 in Houston, Texas. For 51 years, it was composed of vocalist-guitarist Billy Gibbons, drummer Frank Beard and bassist-vocalist Dusty Hill, until Hill's death in 2021. ZZ Top had developed a signature sound based on Gibbons' blues guitar playing style and Hill and Beard's rhythm section. They are popular for their live performances, sly and humorous lyrics, and the matching appearances of Gibbons and Hill, who wore sunglasses, hats and long beards. Read more on Last.fm",2014805,40758241
262,GreenCircles,"Raised on a diet of Brown Ale and bad football, Newcastle based indie band GreenCircles are Paul McGill (guitar/vox), David Mooney (guitar/vox), Graham Bull (bass) and Steve Winter (drums). They share a love of psychedelic tinged British guitar bands including the Stone Roses, The Smiths, The Jam, The Beatles and The La's. After featuring on BBC Introducing, they released a number of singles in 2020 from the Merseybeat skiffle of ""Blackbird"" and ""No Read more on Last.fm",221,1096
263,Forget the G,"http://www.forgettheg.com/news
http://bitetone.com/2010/10/09/forget-the-g/
http://www.myspace.com/forgettheg/photos Read more on Last.fm",171,1025
264,Bappa Mazumder,"Bappa mazumder is a king of melody.

Shubhashish Mazumder Bappa (Bengali: শুভাশীষ মজুমদার বাপ্পা; born 5 February 1974) mostly known as Bappa Mazumder is an eminent singer from Bangladesh, lyricist and Music Composer. Bappa is famous for his Bengali romantic compositions. With his band, Dalchhut, Bappa and his team have successfully won the hearts of millions of music lovers in home and abroad. He is a son of a music couple, the classical maestro Ustad Barin Mazumder and Ila Mazumder.  Read more on Last.fm",3437,44669
265,Darren W. Chamberlain,People wrap themselves in their beliefs. And they do it in such a way that you can’t set them free. Not even the truth will set them free. Read more on Last.fm,719,2499
266,Tommy Roe,"Tommy Roe (born Thomas David Roe, 9 May 1942, Atlanta, Georgia, USA) is an American pop music singer-songwriter. Known for his hits ""Sheila"" (1962) and ""Dizzy"" (1969), Roe was ""widely perceived as one of the early pop artists of the late 1960s, but Roe also cut some rockers early in his career.

Roe was raised in Atlanta, Georgia where he attended Brown High School and was part of band. Greatly influenced by the sounds of the late Buddy Holly, Tommy Roe developed a unique style that Read more on Last.fm",145395,760820
267,Seema Mishra,Read more on Last.fm,2015,14600
268,T-Connection,"T-Connection was a disco group from Nassau, Bahamas who scored two almost-Top-40 hits in 1977-1979. They performed much better on the Hot Dance Music/Club Play chart, where they had five Top 10 hits, including ""Do What You Wanna Do,"" which hit #1. Group members included brothers Theo and Kirk Coakley, Dave Mackey and Tony Flowers. Read more on Last.fm",67234,286380
269,Angelique Band,Read more on Last.fm,34,234
270,Background Instrumental Jazz,Read more on Last.fm,14245,105272
271,Mehnaz,"There are multiple artists that have recorded under the name Mehnaz.

1. Mehnaz Begum (1950 – 19 January 2013), or simply Mehnaz, was a Pakistani singer, well known for her film appearances. Mehnaz was the daughter of a superstar, Kajjan Begum a ghazal singer and early pioneer of film music, who in her lifetime was beloved all across the Indian sub-continent.  It was inevitable that Mehnaz would follow in her mother’s footsteps and take up a career as a singer. Read more on Last.fm",900,4268
272,Alanis Morissette,"Alanis Nadine Morissette (born June 1, 1974) is a Canadian-American singer, songwriter, musician, and actress. Known for her emotive mezzo-soprano voice, Morissette began her career in Canada in the early 1990s with two mildly successful dance-pop albums. Afterward, as part of a recording deal, she moved to Holmby Hills, Los Angeles. In 1995, she released Jagged Little Pill, a more rock-oriented album which sold more than 33 million copies globally and is her most critically acclaimed work to date. Read more on Last.fm",2536837,66900912
273,Sleeze Beez,"An appropriately named sleaze band, the Sleeze Beez managed to fuse the sounds of AC/DC and Def Leppard to create their own unrelenting brand of hard rock.
  In a unique twist, Chriz Van Jaarsveld (guitar) and Jan Koster (drums) managed to talk their way into a record deal before a band (or many songs for that matter) was even formed. In order to start recording a band was thrown together featuring Don Van Spall (guitar), Ed Jongsma (bass) and vocalist Tiger. Read more on Last.fm",12112,150797
274,Louis Armstrong,"Louis Armstrong (August 4, 1901 - July 6, 1971) nicknamed Satchmo or Pops, was an American jazz trumpeter and singer from New Orleans, Louisiana.
Coming to prominence in the 1920s as an inventive trumpet and cornet player, Armstrong was a foundational influence in jazz, shifting the focus of the music from collective improvisation to solo performance. With his instantly-recognizable gravelly voice, Armstrong was also an influential singer, demonstrating great dexterity as an improviser Read more on Last.fm",2712606,39451489
275,Geeta Goswami,Read more on Last.fm,25,57
276,AnRoys,Read more on Last.fm,92,408
277,穆哲熙,Read more on Last.fm,967,6835
278,Dave Burrell,"Among the erudite, Dave Burrell is recognized as one of the (if not the) greatest jazz pianist of his generation. His reputation as one of the most incendiary performers of the late '60s free-jazz scene still attracts young fans to this day. (His LPs as a leader and with Pharoah Sanders, Marion Brown, Archie Shepp, etc. are sought after collector’s items.) 

But Burrell also has a equal following for his more recent works performing the great canon of American piano music (Ellington, Morton, Berlin, Carmichael, etc. Read more on Last.fm",4641,21558
279,Mai Thiên Vân,Read more on Last.fm,720,5460
280,Bizouro Verde,Read more on Last.fm,60,1555
281,Restaurant Jazz Classics,Read more on Last.fm,241,4791
282,Art Van Damme Quintet,Read more on Last.fm,4018,32378
283,Ed Calle,"Born in Venezuela, Ed Calle began honing his talents as a saxophonist extraordinaire at the University of Miami, where his association with serious musicians ignited his passion for jazz. 

Since entering into the business in 1980, Ed has recorded with such diverse stars as Julio Iglesias, Jimmy Buffett, Robin Gibb, The Bellamy Brothers, Eddie Money, George Clinton and Miami Sound machine. Through his work with Emilio Estefan, Ed's music found its Read more on Last.fm",10996,41526
284,Gabi Novak,"Gabi Novak is a famous Croatian singer. She is the daughter of Djuro Novak and Elizabeth Reiman. Since 1973, she has been married to famous Croatian singer and composer Arsen Dedić with whom she has a son Matija Dedić, who is also actively engaged in the music business.

Gabi Novak, prva dama hrvatske šlageristike, velika muza i supruga Arsena Dedića, rođena u Berlinu. Živi u Zagrebu.

Nakon djetinjstva provedenog u Berlinu i na Hvaru 1946. Read more on Last.fm",4903,64546
285,Sven Kuhlmann,Read more on Last.fm,1524,5383
286,Alt-Ctrl-Sleep,"Alt-Ctrl-Sleep is a husband/wife duo from Cornelius, North Carolina consisting of Joe and April Diaco. Alt-Ctrl-Sleep started writing music together in January 2006. Their approach to writing music is easy: ""Make it simple, melodic, and dreamy.""


""The music of Alt-Ctrl-Sleep is as sweet and seductive as Galaxie 500's and the lot of dreampop bands they birthed, but with a melodic pop punch that Dean Wareham's first group never quite mastered. Think My Morning Jacket with less baggage. Read more on Last.fm",10110,175971
287,Rafa Giácomo,Read more on Last.fm,28,255
288,Prakash Rawat,No data,No data,No data
289,Eric Bouvelle,Read more on Last.fm,2190,9544
290,Srikanta Acharya,Srikanta Acharya was born at Kolkata and was trained at 'Dakshini ' one of the premier institutions for music at Kolkata. He is one of the best male singer of Rabindrasangeet of his time.  Read more on Last.fm,2166,23041
291,花僮,Read more on Last.fm,3780,38369
292,Йорданка Христова,"профили profiles 
Йорданка Христова Yordanka Hristova 
Рождена дата: 10.09.1943 Birthday: 10/09/1943 
Пол: Жена Gender: Female 


Неостаряващата звезда на българската попмузика Йорданка Христова е родена на 10 септември 1943 г. в София. Ageless pop star of Bulgarian Yordanka Hristova was born on September 10, 1943 in Sofia. Любопитен факт около нейната фамилия е Read more on Last.fm",1468,11055
293,Vinod Ranta,Read more on Last.fm,3,7
294,Bad Pop,Read more on Last.fm,768,3011
295,The Olympics,"The Olympics are an American doo-wop group, formed in 1957 by lead singer Walter Ward (August 28, 1940 – December 11, 2006). The group included Eddie Lewis (tenor, Ward's cousin), Charles Fizer (tenor), Walter Hammond (baritone) and Melvin King (bass) and, except for Lewis, were friends in a Los Angeles, California, high school.

Their first record was credited to Walter Ward and the Challengers (""I Can Tell"" on Melatone Records). After the name change, they recorded ""Western Movies"" (Demon Records) in the summer of 1958. Read more on Last.fm",30086,133384
296,Kenny Rogers,"Kenneth Ray Rogers (August 21, 1938 – March 20, 2020) was a prolific American country music singer, songwriter, actor, record producer, businessman, and entrepreneur. Kenny Rogers graduated from Jefferson Davis High School in Houston. He was elected to the Country Music Hall of Fame in 2013. Though he was most successful with country audiences, Rogers charted more than 120 hit singles across various music genres, topped the country and pop album charts for more than 200 individual weeks in the United States alone Read more on Last.fm",827288,7813961
297,Uevo,Read more on Last.fm,32918,84128
298,Sarita Kharwal,Read more on Last.fm,61,170
299,Mahalo,Read more on Last.fm,99749,630992
300,Earl Hines,"Earl Kenneth Hines, universally known as Earl ""Fatha"" Hines, (28 December 1903 – 22 April 1983) was a jazz musician, often referred to as ""the first modern jazz pianist"".

In 1928 (on his 25th birthday) Hines began leading his own big band. For over 10 years his was ""The Band"" in Al Capone's Grand Terrace Cafe — Hines was Capone's ""Mr Piano Man"". Hines recorded for Victor in 1929, then after a gap for Brunswick from 1932-1934, Decca from 1934-1935 Read more on Last.fm",124439,671960
301,Patti LaBelle,"Patricia Louise Holt (born May 24, 1944 in Philadelphia, Pennsylvania), better known professionally as Patti LaBelle, is a highly revered, Grammy Award-winning American singer-songwriter, author, businesswoman and actress. LaBelle has fronted two moderately successful groups, Patti LaBelle and the Bluebelles and LaBelle,  before rising to superstardom as a solo artist in the late 1970s. She is best known for her strong soprano vocals and her signature high-octave vocal belting. Read more on Last.fm",406541,2839206
302,Slank,"Slank was formed in 1983 through a school band at a local high school in Slank Jakarta, Indonesia, which named CSC (Cikini Stone Complex). Their main founder, Bimo Setiawan (Bim - Bim) and their fellow bandmates often played a number of Rolling Stones songs at school. The band later changed its name and personnel to SLANK, with Bim - Bim on drums, Erwan on vocals, Bongky on guitars, Denny on bass and Kiki on guitars. The name SLANK itself was taken from their musical attitude Read more on Last.fm",27907,1099171
303,95 Jax,Read more on Last.fm,48,120
304,Earl,"""Earl"" refers to two artists:

1) The project of singer-songwriter Nathan Allebach
2) Earl, female singer-songwriter (previously Kate Earl)

1) ""Earl"" is the most recent project of singer-songwriter Nathan Allebach who formed the local collaboration ""Earl & Raine"". They released one full length album in October of 2011, but Nathan soon went on to start fresh with music he could call his own.

Based out of the Schwenksville area, he hosts the weekly open mic at Steel City Coffee House in Phoenixville Read more on Last.fm",61637,369268
305,Chris Barber,"Chris Barber (born 17th April 1930) is an English jazz trombonist.

Barber was born in Welwyn Garden City, Hertfordshire, England, and educated at St Paul's School in London.  He is best known as a trombonist playing in the trad style with his Dixieland jazz band.

In 1953-1954 he was in a band called Ken Colyer's Jazzmen with Ken Colyer, Lonnie Donegan, , Jim Bray, Ron Bowden and Monty Sunshine. It was during this period that the band used to play Skiffle during their breaks and Lonnie Donegan sang the ""Midnight Special"" and ""In the evening Read more on Last.fm",35748,228710
306,Hot Tuna,"Jorma Kaukonen and Jack Casady was part of Jefferson Airplane back in the 60's, but that was a blip in their musical careers if you ask most Tuna fans.  

Their first album was recorded live at Berkeley in 1969.  They continued their work with Jefferson Airplane during this project, and even though Jefferson Airplane dissolved, Hot Tuna has continued to tour to this day.  Casady is considered by many to be one of the most advanced and innovative in his style. Read more on Last.fm",88270,871001
307,Callejón 13,Read more on Last.fm,188,887
308,7Segundos,Read more on Last.fm,453,1151
309,Acerina Y Su Danzonera,Read more on Last.fm,5153,39918
310,Upik Malay,Read more on Last.fm,5,39
311,Sarah Vaughan,"Sarah Lois Vaughan (nicknamed ""Sassy"" and ""The Divine One"") (March 27, 1924, Newark, New Jersey – April 3, 1990, Los Angeles, California) was an American jazz singer, described as ""possessor of one of the most wondrous voices of the 20th century"". Jazz critic Leonard Feather called her ""the most important singer to emerge from the bop era."" Ella Fitzgerald called her the world’s ""greatest singing talent."" When introduced in her two-part interview of 1980 on The Dick Cavett Show Read more on Last.fm",1066879,10909774
312,Mase,"There are at least twelve artists calling themselves Mase, who work in different areas of music. It is a pity that all these twelve artists are listed as one. 
The best known is the rapper, whose extensive Wikipedia page has been partly copied below. 

Mason Durell Betha (born August 27, 1975),[1] better known by stage name Mase (often typeset as Ma$e) who was previously known as Murda Ma$e, is an American rapper, songwriter, actor and inspirational speaker. Read more on Last.fm",536151,3628875
313,We Are Standard,"We are Standard or Standard, as they are known in Europe, are an indie band from Guecho, Vizcaya, Spain. They currently go by the name WAS.

Their indie'tronic sound has been delighting the Spanish masses and their first album 3000v-40000w was released in the USA in July 2007 under the artist name We are Standard as well as some European countries taking them on a tour including some international festivals like F.I.B, Eurosonic and Popkomm.

The Read more on Last.fm",35519,370886
314,Francesco Gatto,Read more on Last.fm,60,152
315,Bossa Lounge Bar,Read more on Last.fm,1835,7463
316,This Is Lorelei,"This is Lorelei is the recording project of New York based musician and multi-instrumentalist, Nate Amos. Amos is a ceaseless student of musical craft, especially as it relates to the uncharted areas of pop music experimentalism. He grew up in a musical household in Virginia and then Vermont, and spent many of his formative years in a studio environment. His highly acute ear and fascination for musical composition were imbued at an early age and have perpetually motivated his evolution as a musical thinker. Read more on Last.fm",86850,1318798
317,Guddu Rangila,Read more on Last.fm,115,303
318,Dale Burbeck,Read more on Last.fm,2669,7059
319,Joe South,"South had several hits in the late 1960s and early 1970s with songs such as ""Don't It Make You Wanna Go Home"" and ""Walk a Mile in My Shoes"". His biggest and most remembered single was ""Games People Play"" (1968), a Top 10 hit on both sides of the Atlantic. It won the Grammy Award for Best Contemporary Song, the Grammy Award for Song of the Year, and which bears a striking resemblance to the children's gospel song, ""I Don't Want to Be a Pharisee"". It was featured on his first album, Introspect. Read more on Last.fm",62521,295092
320,John Devson,Read more on Last.fm,3964,9825
321,Alma Livre,Read more on Last.fm,2580,8867
322,French Jazz Lounge Bar,Read more on Last.fm,6671,28244
323,Rahsaan Roland Kirk,"Rahsaan Roland Kirk (1935-1977) was a blind American jazz saxophonist, perhaps best known for his ability to play more than one saxophone at once. 

Kirk was born Ronald Kirk on 7th August 1935, in Columbus, Ohio, but felt compelled by a dream to transpose two letters in his first name to make Roland. After another dream in about 1970 he added Rahsaan to his name.

His playing was generally rooted in soul jazz or hard bop, but Kirk's encyclopedic knowledge of jazz history allowed him to draw convincingly on any element of the music's history Read more on Last.fm",244593,1932220
324,Nappy Brown,"Nappy Brown is the stage name of Napoleon Brown Culp (born October 12, 1929, died September 20, 2008). Nappy Brown's earliest musical influences were blues and gospel. As a youngster he performed in several gospel groups, including the Heavenly Lights. Nappy's singing eventually brought him in touch with Herman Lubinsky's Newark, NJ Savoy label, which signed him in the early 1950s to compete with shouters like Roy Brown, Wynonie Harris and Big Joe Turner. Read more on Last.fm",23971,103900
325,Smooth Dinner Jazz,Read more on Last.fm,8174,95333
326,Nickelback,"Nickelback is a Canadian rock band which formed in Hanna, Alberta, Canada in 1995. Nickelback is one of the most commercially successful Canadian groups, having sold 50 million records worldwide. Nickelback ranks as the 7th best selling music act of the 2000s and the 2nd best selling foreign act in the US behind The Beatles for the 2000s.

The band consists of Chad Kroeger (vocals, guitar), Ryan Peake (guitar, vocals), Mike Kroeger (bass) and Daniel Adair (drums). Read more on Last.fm",3855421,119114217
327,Machito,"Machito (born Francisco Raúl Gutiérrez Grillo, February 16, 1908? – April 19, 1984) was an influential Latin jazz musician who helped to refine Afro-Cuban jazz and to create both Cubop and salsa music. He was raised in Havana alongside the singer Graciela, his foster sister.
In New York City, Machito formed the band Machito & His Afro-Cubans in 1940, and with Mario Bauzá as musical director, brought together Cuban rhythms and big band arrangements in one group. Read more on Last.fm",64272,363569
328,Priyanka Singh,Read more on Last.fm,612,2105
329,Jennifer Juan,"Jennifer Juan is a British singer-songwriter, born on the 1st of February 1992, in Croydon, England.

Beginning in 2017, Jennifer began releasing independent music, with her debut single ""Past Preston"", an instrumental track that formed part of a cross media poetry presentation ""Drowning In Us"". Jennifer then released a string of singles, including her debut vocal single ""2AM"", the alternative Christmas single ""Winter Girl"", with an accompanying music video shot in London and her debut EP ""Wildflowers"".  Read more on Last.fm",510,1382
330,Iris & Ofer Portugaly,Read more on Last.fm,506,1845
331,Joe Crepúsculo,"Joe Crepúsculo, real name Joël Iriarte Parra, is a Spanish singer-songwriter. He has released eight solo albums (Escuela de zebras, Supercrepus —National Record of the Year for Rockdelux magazine—, Chill-out, Nuevo ritmo, El caldero , Wizard Ball, New Mysteries and Hard Drive).

He graduated in Philosophy at the University de Barcelona and began to form bands of many styles ranging from surf, rock, punk and electronics. Together with Daniel Granados and Vincent Leone he created Tarántula in 2003 Read more on Last.fm",41095,984478
332,Adastra,"There are at least 3 bands with the name of Adastra:

1. Adastra is a rock band from Croatia. Their music can be described as a mixture of rock and electronic music with lots of influences from grunge, metal and alternative rock. Members are: Jeronim Marić (lead vocal), Danijel Tomašić (lead guitar), Petar Makar (bass guitar) and Dalibor Denković (drums). Adastra's first album has been released in June 2007, the second in 2011 and they are currently in the writing process for the upcoming third album.  Read more on Last.fm",8765,181570
333,MANOJ TIWARI,"Manoj Tiwari is a bhojpuri mega star, most popular bhojpuri singer,Television presenter and Director, hailing from Bihar, India who acts in Bhojpuri films.

Manoj Tiwari was born in Saryupareen Brahmins family in Atarwalia a small village in district Kaimur, Bihar, India.

In 2003, he decided to become an actor and took a role in the film Sasura Bada Paise Wala. Made on a budget of INR 3 million, the film went on to gross over INR 20 million. Sasura Bada Paisa Wala also introduced Manoj Tiwari Read more on Last.fm",6225,37694
334,Jazz Rilassante,Read more on Last.fm,429,21858
335,Nonini Mgenge2Ru,"Hubert Nakitare, better known as Nonini is one of Kenya’s most famous Urban Music Artistes. He is the Godfather of Genge (Mass Music), and the one artiste who brought to life one of Kenya’s biggest and most influential recording studios (Calif Records), Nonini has been in the industry for 11 years now signed to Pro Habo Records.

Nonini (born October 2, 1982), whose real name is Hubert Nakitare, is a Kenyan Genge/Hip Hop artist. He was introduced Read more on Last.fm",417,3559
336,Cheu-B,"Cheu-B est un jeune rappeur français originaire de la capitale (75).

Il fait parti du groupe XVBARBAR, aux côtés de The S’, ADK, Black-D, Pispa, Layon, Leso et Mess, avec qui il fait ses armes et sort trois premier projets : « Instinct Animal » en 2014, et sa réédition et « Le Gun ou la Rose » en 2015.

Deux ans plus tard, il se lance en solo avec la mixtape « Welcome to Skyland » et revient avec XV sur « 404 Error« .

En 2019, il sort cinquième projet XV avec « La Onda« . Read more on Last.fm",13188,375594
337,Navid Arbabian,Read more on Last.fm,711,7984
338,六艾司 Lilice,Read more on Last.fm,1125,4786
339,Marillion,"Marillion is a rock band formed in Aylesbury, England .  Their 30-year career is marked by two distinctive phases; the early years fronted by Fish which saw their greatest commercial success, and much longer period fronted by Steve Hogarth in which the band have constantly re-invented themselves so as to continue to be relevant into the 21st century.

The Fish era is often categorized as neo-progressive. They originally started as ""Silmarillion"" (from Read more on Last.fm",612269,22044312
340,Esquerita,"Circa 1958 Eskew Reeder was signed to Captiol Records at the urging of Gene Vincent, he changed his name to Esquerita and adopted a flamboyant, processed & pompadoured look tht made him one of the most outlandish acts in the day. He was also known as ""The Magnificent Malochi"", aka ""S.Q. Reeder"", aka ""The Voola"".... While studying as one of his students, the later much more well known Little Richard borrowed heavily from Esquerita's look & piano playing style. Read more on Last.fm",8191,64949
341,The Paperboys,"There are/were at least two bands named The Paperboys:

1. a folk band from Vancouver, Canada
2. an indie band from Manchester, United Kingdom

1. The Paperboys (sometimes billed and credited as Tom Landa and the Paperboys) are a Canadian folk music band from Vancouver that formed in 1991. The Paperboys blend Celtic folk with bluegrass, Mexican, Eastern European, African, zydeco, soul and country influences. The band has had a variety of line-ups since its formation Read more on Last.fm",8775,103205
342,Daily Thompson,Read more on Last.fm,2774,33139
343,MC Lyte,"MC Lyte (born Lana Michele Moorer on October 11, 1971 in Brooklyn, New York) is a female rap artist. She was the first female rapper commonly acknowledged to be as hard as the men: she loves to curse, and she's got that fierce working-class Brooklyn voice and no-nonsense demeanor. But she's also written some of the most fearlessly honest and introspective lyrics in modern music. Also, the first rapper ever to perform in Carnegie Hall and the Arsenio Hall show. Read more on Last.fm",179224,993658
344,Foals,"Foals are a rock band which formed in Oxford, England in 2005.  The band consists of Yannis Philippakis (vocals, guitar), Jimmy Smith (guitar), Walter Gervers (bass) and Jack Bevan (drums). The band has released seven albums: ""Antidotes"" (2008), ""Total Life Forever"" (2010), ""Holy Fire"" (2013), ""What Went Down"" (2015), ""Everything Not Saved Will Be Lost, Pt. 1"" (2019) , ""Everything Not Saved Will Be Lost, Pt. 2"" (2019), and ""Life is Yours"" (2022). In January 2018, it was announced that Walter Gervers (bass) was leaving the band. Read more on Last.fm",1979896,97851882
345,Shah Farooq,Read more on Last.fm,185,1379
346,16-17,"Saxophonist Alex Buess and drummer Knut Remond originated 16-17's turbulent sound in the comparatively sedate surroundings of Basel, Switzerland, in 1983. Sharing fellow country-man H.R. Giger's fascination with suppressed horrors, their primal shock therapy raged against passivity.
16-17 were determined to locate a shared melting point for Extremist Rock, Free Music, and Avant-Garde electronic. Read more on Last.fm",3145,37037
347,CLAIM,"There are at least two bands named Claim:
(1) A Czech rock band formed in Zlín.
(2) A German rock band based in Dresden.

(1) Claim is a Czech rock band. The band was formed in 2001 in   Zlín by vocalist and bass player Jakub Malar with guitarist Jiri Halaska. The other band members are Petr Ptacek (drums), Alzbeta Staskova (bass) and Jencek Kolmacka (sax). They have already recorded two records : On The Road (2002) and From The Pub To The Top  (2004). Now they're working on the third record Waiting For The Future. Read more on Last.fm",2037,12917
348,Starsailor,"Starsailor is an English post-Britpop band, formed in 2000. Since their formation, the band have included guitarist and vocalist James Walsh, drummer Ben Byrne, bassist James Stelfox, and keyboardist Barry Westhead. They are best known for their 2003 single ""Silence Is Easy"", which reached number 9 in the UK, and ""Four to the Floor"", which reached number one in France as well as the top five in Australia.

The band have released five studio albums and scored ten Top 40 hit singles in the UK. Read more on Last.fm",896392,12353056
349,Pramod Premi Yadav,Read more on Last.fm,506,2083
350,Santanu Sahoo,Read more on Last.fm,17,38
351,Grand Funk Railroad,"Grand Funk Railroad is an American hard rock band that formed in 1969 in Flint, Michigan, United States. Known for iconic rock hits such as the number ones ""We're An American Band"" and their cover version of  ""The Loco-Motion"", the band initially consisted of Mark Farner (vocals, guitar), Mel Schacher (bass) and Don Brewer (drums), with Craig Frost (keyboards) joining in 1972. During their career, the group has released 14 studio albums and their career sales total over 25 million records sold, including 10 million records sold in 1970 alone.  Read more on Last.fm",670367,7519054
352,Electric Fantasy,Read more on Last.fm,307,1374
353,Gustavo Toledo & Gabriel,Read more on Last.fm,3598,55271
354,Los Bopper's,Read more on Last.fm,615,1457
355,Matt Bianco,"Matt Bianco is a UK band that was formed in 1983 and continues to exist to date. They are mainly known for their success in the mid 1980s and their jazzy, Latin-flavoured music.   

Popular during the mid 1980s in continental Europe, Matt Bianco epitomised the new jazz pop genre that they shared with Working Week, Sade, Everything but the Girl and The Style Council. The band name suggests that Matt Bianco is a personal name, but Matt is ""a made up spy, a secret agent; we loved spy TV themes and film scores"" Read more on Last.fm",128659,1165035
356,Bombay Bicycle Club,"Bombay Bicycle Club are a British band formed in North London, United Kingdom in 2006. In January 2016, the four members announced that they would pursue solo projects. Ed Nash has since then been recording music under the name Toothless, releasing his debut album in early 2017, and former frontman Steadman has been recording under the name Mr Jukes, releasing a debut single in March 2017. 

The band was formed by Jack Steadman (vocals, guitar, bass) Read more on Last.fm",1526631,49793257
357,Urbanites,"When you listen to The Years, the debut studio recording from Urbanites, you're hearing a band in progress. Beneath the frayed linen cover of a classic novel or between the scratchy grooves of a worn out 33 & 1/3rd, there's a story that we've all heard some version of - if not lived through, more times than we'd care to admit: We expend our lives trying to get to an ideal that doesn't actually exist. And when we come to understand this reality, we often find that, what we truly wanted, was right there - with us the entire time.  Read more on Last.fm",3032,18218
358,Los Tornados,Read more on Last.fm,202,1008
359,Pravin Luni,Read more on Last.fm,38,171
